time,Compressor_mdot,Compressor_power_consumed,Compressor_h,Compressor_speed_rpm,Comp-Cond_p,Comp-Cond_t,Comp-Cond_h,Cond_mdot,Cond_qdot,Cond_h,Cond_t_secondary_in,Cond_t_secondary_out,Cond-Valve_p,Cond-Valve_t,Cond-Valve_h,MainValve_mdot,MainValve_h,Valve-Evap_p,Valve-Evap_t,Valve-Evap_h,Evap_mdot,Evap_qdot,Evap_h,Evap_t_secondary_in,Evap_t_secondary_out,Evap-Comp_p,Evap-Comp_t,Evap-Comp_h
82.58000000000534,0.5643751153566843,13321.601483133343,365877.5591910826,4000,1288924.7337360457,322.26781035040756,365877.36097274756,0.5643745599689305,-16313.77663398547,336971.4193086058,298.15,305.95403397660414,1282416.717189632,322.0676596806384,336970.98645283724,0.5643752108483057,336970.9825982673,350379.5238849098,278.20925514688423,336970.85297626205,0.5643753059684111,2992.658191552522,342273.45197709044,283.15,279.91934490168836,324897.73865340586,276.0555106804342,342273.39951641235
82.59000000000535,0.5643751207001192,13321.601814470216,365877.56158143125,4000,1288924.7677397744,322.26781139419137,365877.3635802152,0.5643745659202383,-16313.776373803421,336971.42268475424,298.15,305.9540352802934,1282416.7511285285,322.0676607263968,336970.99030318414,0.564375216087156,336970.98645283724,350379.53167343425,278.2092557865516,336970.8569728202,0.5643753111030447,2992.657070907228,342273.4539441503,283.15,279.91934490168836,324897.74586013675,276.05551130758386,342273.4015409359
82.60000000000535,0.5643751260376983,13321.602145444534,365877.56396916223,4000,1288924.8017062454,322.2678124368315,365877.36618482665,0.5643745718660712,-16313.776113897973,336971.4260572729,298.15,305.95403658256294,1282416.7850302604,322.06766177101,336970.99414931406,0.5643752213202616,336970.99030318414,350379.53945342766,278.2092564255183,336970.860965001,0.5643753162320663,2992.6559514893684,342273.455909055,283.15,279.91934490168836,324897.75305897376,276.05551193404654,342273.4035632418
82.61000000000536,0.5643751313694341,13321.602476056129,365877.56635427725,4000,1288924.8356355214,322.26781347832986,365877.3687865852,0.5643745778044301,-16313.775854268555,336971.42942606343,298.15,305.9540378833892,1282416.8188948487,322.0676628144787,336970.99799123063,0.5643752265476394,336970.99414931406,350379.54722489783,278.20925706378495,336970.8649528081,0.5643753213554698,2992.6548332976495,342273.45787180786,283.15,279.91934490168836,324897.7602499262,276.05551255982306,342273.40558333293
82.62000000000536,0.5643751366953293,13321.60280630543,365877.5687367798,4000,1288924.8695276217,322.26781451868703,365877.37138549367,0.5643745837371404,-16313.775594940636,336971.43279117753,298.15,305.95403918280874,1282416.852722348,322.06766385680453,336971.00182893896,0.564375231769287,336970.99799123063,350379.5549878564,278.20925770135256,336970.86893624754,0.5643753264732396,2992.6537163309777,342273.45983241056,283.15,279.91934490168836,324897.767433001,276.05551318491405,342273.4076012111
82.63000000000537,0.5643751420153893,13321.603136193247,365877.57111667295,4000,1288924.9033826045,322.26781555790484,365877.3739815555,0.5643745896626559,-16313.77533587829,336971.43615260243,298.15,305.95404048079297,1282416.8865127896,322.0676648979885,336971.00566244335,0.5643752369852187,336971.00182893896,350379.56274231174,278.2092583382218,336970.87291532353,0.5643753315854242,2992.6526005876613,342273.46179086575,283.15,279.91934490168836,324897.7746082076,276.0555138093203,342273.4096168786
82.64000000000537,0.5643751473296231,13321.60346571954,365877.5734939585,4000,1288924.9372005002,322.2678165959842,365877.37657477387,0.5643745955821564,-16313.77507711187,336971.4395103483,298.15,305.9540417773693,1282416.920266224,322.0676659380321,336971.00949174893,0.5643752421954339,336971.00566244335,350379.5704882728,278.2092589743934,336970.87689004064,0.5643753366920105,2992.6514860665065,342273.46374717564,283.15,279.91934490168836,324897.78177555493,276.0555144330426,342273.41163033847
82.65000000000538,0.5643751526380353,13321.603794884933,365877.57586864044,4000,1288924.9709813567,322.26781763292655,365877.3791651517,0.5643746014947733,-16313.77481861489,336971.4428644207,298.15,305.95404307250726,1282416.9539826764,322.0676669769362,336971.0133168595,0.564375247399945,336971.00949174893,350379.5782257487,278.20925960986807,336970.8808604039,0.5643753417929978,2992.6503727662207,342273.4657013425,283.15,279.91934490168836,324897.78893505153,276.05551505608173,342273.4136415928
82.66000000000538,0.564375157940631,13321.604123689784,365877.57824072125,4000,1288925.0047252034,322.26781866873284,365877.3817526921,0.5643746074015032,-16313.77456041929,336971.44621481706,298.15,305.9540443662247,1282416.987662206,322.0676680147026,336971.0171377804,0.564375252598752,336971.0133168595,350379.5859547503,278.20926024464677,336970.8848264184,0.564375346888391,2992.649260685511,342273.467653369,283.15,279.91934490168836,324897.79608670523,276.0555156784383,342273.41565064376
82.67000000000539,0.5643751632374214,13321.604452134585,365877.58061020356,4000,1288925.0384320924,322.26781970340465,365877.38433739793,0.5643746133010448,-16313.774302508136,336971.4495615038,298.15,305.9540456585507,1282417.0213048367,322.06766905133196,336971.0209545158,0.5643752577918674,336971.0171377804,350379.5936752854,278.2092608787301,336970.8887880886,0.5643753519782221,2992.6481498227845,342273.46960325725,283.15,279.91934490168836,324897.80323052657,276.0555163001133,342273.41765749466
